sample,epochs (1800s)
fukunaga_transport-opt14-strips_p02_dfs_fs_500x200,860
fukunaga_transport-opt14-strips_p03_dfs_fs_500x200,810
fukunaga_transport-opt14-strips_p04_dfs_fs_500x200,780
fukunaga_transport-opt14-strips_p05_dfs_fs_500x200,760
fukunaga_transport-opt14-strips_p06_dfs_fs_500x200,750
fukunaga_transport-opt14-strips_p07_dfs_fs_500x200,800
fukunaga_transport-opt14-strips_p08_dfs_fs_500x200,780
fukunaga_transport-opt14-strips_p09_dfs_fs_500x200,760
fukunaga_transport-opt14-strips_p10_dfs_fs_500x200,740
fukunaga_transport-opt14-strips_p11_dfs_fs_500x200,730
fukunaga_transport-opt14-strips_p12_dfs_fs_500x200,740
fukunaga_transport-opt14-strips_p13_dfs_fs_500x200,840
fukunaga_transport-opt14-strips_p14_dfs_fs_500x200,810
fukunaga_transport-opt14-strips_p15_dfs_fs_500x200,760
fukunaga_transport-opt14-strips_p16_dfs_fs_500x200,700
fukunaga_transport-opt14-strips_p17_dfs_fs_500x200,640
fukunaga_transport-opt14-strips_p18_dfs_fs_500x200,650
fukunaga_transport-opt14-strips_p19_dfs_fs_500x200,670
fukunaga_transport-opt14-strips_p20_dfs_fs_500x200,660
fukunaga_visitall-opt14-strips_p-05-10_dfs_fs_500x200,810
fukunaga_visitall-opt14-strips_p-05-5_dfs_fs_500x200,850
fukunaga_visitall-opt14-strips_p-05-6_dfs_fs_500x200,840
fukunaga_visitall-opt14-strips_p-05-7_dfs_fs_500x200,840
fukunaga_visitall-opt14-strips_p-05-8_dfs_fs_500x200,810
fukunaga_visitall-opt14-strips_p-05-9_dfs_fs_500x200,790
fukunaga_visitall-opt14-strips_p-1-10_dfs_fs_500x200,790
fukunaga_visitall-opt14-strips_p-1-11_dfs_fs_500x200,770
fukunaga_visitall-opt14-strips_p-1-12_dfs_fs_500x200,790
fukunaga_visitall-opt14-strips_p-1-13_dfs_fs_500x200,720
fukunaga_visitall-opt14-strips_p-1-14_dfs_fs_500x200,730
fukunaga_visitall-opt14-strips_p-1-15_dfs_fs_500x200,710
fukunaga_visitall-opt14-strips_p-1-16_dfs_fs_500x200,670
fukunaga_visitall-opt14-strips_p-1-17_dfs_fs_500x200,670
fukunaga_visitall-opt14-strips_p-1-18_dfs_fs_500x200,660
fukunaga_visitall-opt14-strips_p-1-5_dfs_fs_500x200,820
fukunaga_visitall-opt14-strips_p-1-6_dfs_fs_500x200,820
fukunaga_visitall-opt14-strips_p-1-7_dfs_fs_500x200,850
fukunaga_visitall-opt14-strips_p-1-8_dfs_fs_500x200,840
fukunaga_visitall-opt14-strips_p-1-9_dfs_fs_500x200,830
fukunaga_scanalyzer-sat11-strips_p01_dfs_fs_500x200,1000
fukunaga_scanalyzer-sat11-strips_p02_dfs_fs_500x200,970
fukunaga_scanalyzer-sat11-strips_p03_dfs_fs_500x200,970
